id,word,meaning,day,week_start,date_sent
1,sullen,bad-tempered and sulky; unwilling to smile or be sociable.,monday,2025-05-05,2025-05-05
2,beget,to father or sire a child; to cause or bring about.,monday,2025-05-05,2025-05-05
3,parody,"an imitation of the style of someone or something, usually for comic effect.",monday,2025-05-05,2025-05-05
4,malady,a disease or disorder of the body or mind.,monday,2025-05-05,2025-05-05
5,epiphany,a sudden and profound realization or insight.,monday,2025-05-05,2025-05-05
6,visceral,relating to deep inward feelings rather than intellect; emotional or instinctive.,monday,2025-05-05,2025-05-05
7,patent,"a legal right granted to an inventor to exclusively make, use, or sell an invention for a certain period.",monday,2025-05-05,2025-05-05
8,meager,lacking in quantity or quality; insufficient.,monday,2025-05-05,2025-05-05
9,staunchly,in a very loyal and committed manner.,monday,2025-05-05,2025-05-05
10,sparingly,in small amounts; using or doing something with moderation or restraint.,monday,2025-05-05,2025-05-05
11,rudimentary,involving only basic principles; elementary or undeveloped.,monday,2025-05-05,2025-05-05
12,inconsequential,not important or significant; trivial.,monday,2025-05-05,2025-05-05
13,veto,to refuse to allow or approve something; to reject a decision or proposal.,monday,2025-05-05,2025-05-05
14,Wabi-sabi,a Japanese aesthetic concept finding beauty in imperfection and transience.,monday,2025-05-05,2025-05-05
15,Proteus,a figure from Greek mythology known for his ability to change shape; also used to describe something highly adaptable or versatile.,monday,2025-05-05,2025-05-05
16,milieu,a person's social or cultural environment and surroundings.,monday,2025-05-05,2025-05-05
17,sentiment,"a view, opinion, or feeling about something; an attitude or emotion.",monday,2025-05-05,2025-05-05
18,definitive,(of a conclusion or agreement) done or reached decisively and with authority; the most complete or reliable.,monday,2025-05-05,2025-05-05
19,belligerently,"in a hostile, aggressive, or warlike manner.",monday,2025-05-05,2025-05-05
20,Diplomatic,"The art of dealing with people in a sensitive and effective way, often involving negotiation and tact",monday,2025-05-05,2025-05-05
21,indelible,"making marks that cannot be removed, erased, or forgotten.",tuesday,2025-05-05,2025-05-06
22,vaunt,"to boast about or praise something, especially excessively.",tuesday,2025-05-05,2025-05-06
23,requisite,required or necessary for a particular purpose.,tuesday,2025-05-05,2025-05-06
24,conflate,"to combine two or more things into one, typically inappropriately.",tuesday,2025-05-05,2025-05-06
25,perfidious,deceitful and untrustworthy; deliberately disloyal.,tuesday,2025-05-05,2025-05-06
26,subterfuge,deceit used in order to achieve one's goal; a trick or stratagem.,tuesday,2025-05-05,2025-05-06
27,taciturn,habitually silent or uncommunicative; reserved.,tuesday,2025-05-05,2025-05-06
28,epitome,a person or thing that is a perfect example of a particular quality or type.,tuesday,2025-05-05,2025-05-06
29,lavish,spending or giving in great amounts; extravagant or generous.,tuesday,2025-05-05,2025-05-06
30,valor,"great courage, especially in the face of danger.",tuesday,2025-05-05,2025-05-06
31,abuzz,filled with a continuous buzzing or humming sound; full of lively activity.,tuesday,2025-05-05,2025-05-06
32,gregarious,sociable; enjoying the company of others.,tuesday,2025-05-05,2025-05-06
33,pseudo,not genuine; false or pretended; sham.,tuesday,2025-05-05,2025-05-06
